feature,importance,std
return_std_30,0.019518878121996708,0.0009388116977694183
normalized_range,0.014525718050600923,0.0018782859787080538
week_of_year,0.004431207514917812,0.0013395291537521019
return_std_7,0.004234076541280529,0.00047655167870855065
bollinger_bandwidth_20,0.00419166541786663,0.00015416653496145454
rsi_14,0.00273308208785773,0.0009572520635461603
days_since_listing,0.0019233076570641771,0.00039876674527006755
return_std_14,0.0015970908694854847,0.00046992662268860387
high,0.0014833612541023445,0.0005326121362226068
liquidity_ratio,0.0010471493097891859,0.000994577441535566
momentum_3,0.0009289403743463432,0.00021977742495746507
crypto_name,0.0006070522672712797,0.00025799856085363307
liquidity_trend_5,0.0005636928510668771,0.00011445360836859152
volume_ma_30,0.00029098889349120637,6.798135544723771e-05
volatility_ratio,0.00025926763744353875,1.913431121746252e-05
atr_14,0.0002516782220064684,3.9118356990147784e-05
market_cap,0.00020216000356892971,5.581188725339025e-05
price_range,9.963169998409294e-05,0.00014224494611628309
close_std_14,5.0910657012226415e-05,1.0366127633408254e-05
volume_to_market_cap,3.1986573828990396e-05,1.4847120156383016e-05
volume_ma_14,2.4313474668402612e-05,1.8228704185893518e-05
volume_ma_3,1.3028029904915695e-05,6.240543520145891e-06
close_std_7,3.2804911990425013e-06,2.0997198198980654e-06
volume,1.1552035258710624e-06,6.811087857493164e-06
body_size,0.0,0.0
log_return,0.0,0.0
pct_change_close,0.0,0.0
close_ma_7,0.0,0.0
volume_zscore_7,0.0,0.0
year,0.0,0.0
close_std_3,0.0,0.0
return_std_3,0.0,0.0
volume_ma_7,0.0,0.0
log_market_cap,0.0,0.0
day_of_week,0.0,0.0
ema_12,0.0,0.0
date_ordinal,0.0,0.0
close_ma_14,0.0,0.0
true_range,-5.00249688062393e-06,7.619205923277648e-06
close_ma_3,-1.564542663953228e-05,2.8117461423227407e-06
close_ma_30,-2.3490744984477896e-05,6.242389199181013e-06
close,-0.00012409683772454105,7.997319426410189e-05
open,-0.00018964198277496847,5.181783851295803e-05
month,-0.0002361075700325066,0.00012959881123728292
macd,-0.00028762387854313064,0.00016314182882847864
momentum_7,-0.0003426115075125469,0.000538061585762448
close_std_30,-0.0006851773038527131,0.0002776979192679938
ema_26,-0.0008232772980444226,0.00020666776313761363
low,-0.0014155615946859878,0.0001790426753571441
